M,Nome,Squadra
Pc,RONALDO,Juv
Pc,LUKAKU,Int
Pc,IMMOBILE,Laz
Pc,BELOTTI,Tor
Pc,MURIEL,Ata
Pc,MARTINEZ L.,Int
TA,MKHITARYAN,Rom
Pc,IBRAHIMOVIC,Mil
A,JOAO PEDRO,Cag
A,INSIGNE,Nap
Pc,ZAPATA D.,Ata
DdE,HAKIMI,Int
A,BERARDI,Sas
Pc,DZEKO,Rom
A,LOZANO,Nap
Pc,CAPUTO,Sas
WA,CHIESA,Juv
MC,KESSIE',Mil
E,GOSENS,Ata
C,VERETOUT,Rom
Pc,MERTENS,Nap
CT,ZACCAGNI,Ver
T,DE PAUL,Udi
CT,MILINKOVIC-SAVIC,Laz
A,ILICIC,Ata
Pc,MORATA,Juv
CT,SORIANO,Bol
A,RAFAEL LEAO,Mil
T,LUIS ALBERTO,Laz
Pc,PETAGNA,Nap
A,MESSIAS,Cro
WA,POLITANO,Nap
Pc,CAICEDO,Laz
Pc,QUAGLIARELLA,Sam
Pc,DESTRO,Gen
EW,CANDREVA,Sam
DsE,HERNANDEZ T.,Mil
CT,PELLEGRINI LO.,Rom
CT,ZIELINSKI,Nap
Pc,VLAHOVIC,Fio
Pc,NZOLA,Spe
CT,BARAK,Ver
A,SANCHEZ,Int
TA,KULUSEVSKI,Juv
T,CALHANOGLU,Mil
Pc,SIMY,Cro
Pc,MAYORAL,Rom
MC,MCKENNIE,Juv
A,DYBALA,Juv
WA,ORSOLINI,Bol
Pc,SIMEONE,Cag
WT,PEREYRA,Udi
T,DJURICIC,Sas
Por,GOLLINI,Ata
Por,DONNARUMMA G.,Mil
CW,JANKTO,Sam
CT,CASTROVILLI,Fio
C,BROZOVIC,Int
T,RAMSEY,Juv
Por,SILVESTRI,Ver
Pc,OSIMHEN,Nap
Pc,SHOMURODOV,Gen
MC,BARELLA,Int
DdE,DANILO,Juv
DdE,SPINAZZOLA,Rom
C,FREULER,Ata
A,REBIC,Mil
A,GERVINHO,Par
A,BOGA,Sas
WT,DIAZ B.,Mil
WA,EL SHAARAWY,Rom
DsE,DIMARCO,Ver
DdE,HATEBOER,Ata
DdE,KARSDORP,Rom
Dc,SKRINIAR,Int
Dc,MANCINI,Rom
A,BARROW,Bol
A,FARIAS,Spe
WA,DAMSGAARD,Sam
WA,PEDRO,Rom
WA,PUSSETTO,Udi
Por,SZCZESNY,Juv
Por,REINA,Laz
Por,OSPINA,Nap
Por,AUDERO,Sam
Pc,LAPADULA,Ben
DdE,LETIZIA,Ben
DdE,SINGO,Tor
Dc,BONUCCI,Juv
CT,VERRE,Sam
C,LUKIC,Tor
A,CAPRARI,Ben
A,DEFREL,Sas
A,PJACA,Gen
A,KEITA B.,Sam
WA,INSIGNE R.,Ben
Por,DRAGOWSKI,Fio
Por,HANDANOVIC,Int
MC,GAGLIARDINI,Int
MC,LOCATELLI,Sas
MC,MIGUEL VELOSO,Ver
E,LAZZARI,Laz
DsE,CRISCITO,Gen
Dc,DE VRIJ,Int
Dc,BREMER,Tor
CT,TRAORE' HJ.,Sas
C,KUCKA,Par
A,RIBERY,Fio
WA,SOTTIL,Cag
W,SAELEMAEKERS,Mil
T,MALINOVSKYI,Ata
Por,PERIN,Gen
Pc,SCAMACCA,Gen
Pc,TORREGROSSA,Sam
Pc,SANABRIA,Tor
MC,DE ROON,Ata
MC,HERNANI,Par
MC,THORSBY,Sam
M,DEMME,Nap
DsE,BIRAGHI,Fio
DdE,CALABRIA,Mil
DdE,DARMIAN,Int
Ddc,IZZO,Tor
Dc,ACERBI,Laz
Dc,YOSHIDA,Sam
CT,PESSINA,Ata
CT,ELMAS,Nap
C,POBEGA,Spe
A,SAU,Ben
A,GYASI,Spe
TA,VIGNATO,Bol
TA,MIRANCHUK,Ata
Por,CONSIGLI,Sas
Por,MUSSO,Udi
Pc,OKAKA,Udi
Pc,LAMMERS,Ata
Pc,MANDZUKIC,Mil
MC,NANDEZ,Cag
EW,MOLINA S.,Cro
DdE,CUADRADO,Juv
Dc,TOLOI,Ata
Dc,ROMERO,Ata
Dc,ROMAGNOLI,Mil
CT,SVANBERG,Bol
CT,NAINGGOLAN,Cag
A,PALACIO,Bol
A,CORREA,Laz
T,PEREIRA A.,Laz
Pc,BONAZZOLI,Tor
Pc,ZAZA,Tor
MC,EKDAL,Sam
MC,STROOTMAN,Gen
EW,LAZOVIC,Ver
DsE,ZEEGELAAR,Udi
DdE,FARAONI,Ver
DdE,ZAPPA,Cag
Ddc,TOMIYASU,Bol
Ddc,MILENKOVIC,Fio
Dc,KJAER,Mil
Dc,KOULIBALY,Nap
Dc,MANOLAS,Nap
CT,KURTIC,Par
CT,ILIC,Ver
C,BENTANCUR,Juv
C,VIDAL,Int
A,KOKORIN,Fio
T,GOJAK,Tor
Por,SKORUPSKI,Bol
Por,PAU LOPEZ,Rom
Por,PROVEDEL,Spe
Pc,PICCOLI,Spe
Pc,GAICH,Ben
MC,TAMEZE,Ver
DsE,ANSALDI,Tor
Dsc,SAMIR,Udi
DdE,ZAPPACOSTA,Gen
DdE,D'AMBROSIO,Int
Dc,GOLEMIC,Cro
Dc,PEZZELLA GER.,Fio
Dc,DE LIGT,Juv
CT,BONAVENTURA,Fio
CT,RUIZ,Nap
C,MARIN,Cag
C,ARTHUR,Juv
A,MAN,Par
WA,VERDI,Tor
WT,RAMIREZ,Sam
WA,SKOV OLSEN,Bol
WA,CARLES PEREZ,Rom
WA,HAUGE,Mil
W,CASTILLEJO,Mil
T,ERIKSEN,Int
T,ZANIOLO,Rom
Por,CRAGNO,Cag
Por,MIRANTE,Rom
Pc,NESTOROVSKI,Udi
Pc,RIVIERE,Cro
MC,RICCI M.,Spe
MC,MEITE',Mil
M,BAKAYOKO,Nap
E,MARUSIC,Laz
DsE,MARIO RUI,Nap
DsE,AUGELLO,Sam
DsE,BASTONI S.,Spe
DsE,KOLAROV,Int
DdE,MULDUR,Sas
Dc,DJIMSITI,Ata
Dc,PALOMINO,Ata
Dc,BASTONI,Int
Dc,IBANEZ,Rom
Dc,FERRARI G.,Sas
Dc,TOMORI,Mil
CT,PASALIC,Ata
CT,ARSLAN,Udi
C,ZANELLATO,Cro
A,COLLEY E.,Ver
A,PANDEV,Gen
A,KARAMOH,Par
A,VERDE,Spe
WT,LOPEZ M.,Sas
WA,PERISIC,Int
T,ZAJC,Gen
Por,STRAKOSHA,Laz
Por,MERET,Nap
Pc,PAVOLETTI,Cag
Pc,FAVILLI,Ver
Pc,LASAGNA,Ver
MC,HETEMAJ,Ben
MC,SCHIATTARELLA,Ben
MC,AMRABAT,Fio
M,BEHRAMI,Gen
M,RADOVANOVIC,Gen
M,RINCON,Tor
M,WALACE,Udi
DsE,CZYBORRA,Gen
DsE,PEZZELLA GIU.,Par
Dsc,CALDIROLA,Ben
Dsc,GAGLIOLO,Par
DdE,GHIGLIONE,Gen
DdE,PEREIRA P.,Cro
Dc,CHABOT,Spe
Dc,COLLEY,Sam
Dc,NUYTINCK,Udi
Dc,DAWIDOWICZ,Ver
Dc,KUMBULLA,Rom
Dc,BONIFAZI,Udi
Dc,SMALLING,Rom
CT,AGUDELO,Spe
CT,VULIC,Cro
C,VILLAR,Rom
A,KOUAME',Fio
A,IAGO FALQUE,Ben
A,FORESTIERI,Udi
WA,IMPROTA,Ben
WA,DEULOFEU,Udi
T,KOVALENKO,Ata
Por,SIRIGU,Tor
Pc,GALABINOV,Spe
Pc,KALINIC,Ver
Pc,ZIRKZEE,Par
MC,ROG,Cag
MC,BADELJ,Gen
MC,CRISTANTE,Rom
M,MEDEL,Bol
DsE,RECA,Cro
DsE,LYKOGIANNIS,Cag
DsE,ALEX SANDRO,Juv
Dsc,RADU,Laz
Dsc,MARCHIZZA,Spe
DdE,DI LORENZO,Nap
DdE,BRUNO PERES,Rom
DdE,MAEHLE,Ata
DdE,YOUNG,Int
DdE,STRYGER LARSEN,Udi
Dc,GODIN,Cag
Dc,DEMIRAL,Juv
Dc,RUGANI,Cag
C,VIOLA,Ben
C,DOMINGUEZ,Bol
C,MAGGIORE,Spe
C,LINETTY,Tor
C,ADRIEN SILVA,Sam
WT,BERNARDESCHI,Juv
W,CALLEJON,Fio
Por,SPORTIELLO,Ata
Por,BUFFON,Juv
Por,SEPE,Par
Pc,RASPADORI,Sas
Pc,MURIQI,Laz
MC,POLI,Bol
MC,SCHOUTEN,Bol
MC,PULGAR,Fio
MC,STURARO,Ver
MC,BRUGMAN,Par
MC,BOURABIA,Sas
MC,MANDRAGORA,Tor
MC,EDUARDO HENRIQUE,Cro
MC,AKPA AKPRO,Laz
DsE,ASAMOAH,Cag
DsE,ROGERIO,Sas
DsE,OUWEJAN,Udi
Dsc,BARBA,Ben
DdE,BERESZYNSKI,Sam
DdE,DE SILVESTRI,Bol
DdE,HYSAJ,Nap
Ddc,CACERES,Fio
Ddc,MASIELLO,Gen
Ddc,CHIRICHES,Sas
Dc,DANILO LAR.,Bol
Dc,CHIELLINI,Juv
Dc,LUIZ FELIPE,Laz
Dc,MAGNANI,Ver
Dc,RODRIGO BECAO,Udi
Dc,GUNTER,Ver
Dc,LOVATO,Ver
Dc,SOUMAORO,Bol
Dc,ONGUENE',Gen
CT,ESTEVEZ,Spe
C,AGOUME,Spe
C,SENSI,Int
WA,BRAAF,Udi
Por,DA COSTA,Bol
Por,CORDAZ,Cro
Pc,LLORENTE,Udi
Pc,CORNELIUS,Par
Pc,INGLESE,Par
Pc,GABBIADINI,Sam
Pc,DI CARMINE,Cro
MC,ESCALANTE,Laz
MC,LUCAS LEIVA,Laz
MC,PAROLO,Laz
MC,BENNACER,Mil
MC,OBIANG,Sas
DsE,MURRU,Tor
DsE,KYRIAKOPOULOS,Sas
DsE,RODRIGUEZ R.,Tor
Dsc,IGOR,Fio
Dsc,BUONGIORNO,Tor
DdE,MOLINA N.,Udi
DdE,RISPOLI,Cro
DdE,HICKEY,Bol
DdE,PATRIC,Laz
Ddc,CECCHERINI,Ver
Ddc,KALULU,Mil
Dc,GLIK,Ben
Dc,TUIA,Ben
Dc,BANI,Par
Dc,CEPPITELLI,Cag
Dc,WALUKIEWICZ,Cag
Dc,GOLDANIGA,Gen
Dc,TONELLI,Sam
Dc,AYHAN,Sas
Dc,MARLON,Sas
Dc,TERZI,Spe
Dc,LYANCO,Tor
Dc,OSORIO,Par
CW,TELLO,Ben
CT,BESSA,Ver
C,IONITA,Ben
C,RABIOT,Juv
C,TONALI,Mil
WA,HARASLIN,Sas
Por,MONTIPO',Ben
Pc,SANTANDER,Bol
Pc,SALCEDO E.,Ver
MC,DEIOLA,Cag
MC,DABO,Ben
MC,DUNCAN,Cag
MC,CYPRIEN,Par
MC,ROVELLA,Gen
M,SOHM,Par
E,FARES,Laz
DsE,FOULON,Ben
DsE,DIJKS,Bol
DsE,FRABOTTA,Juv
Dsc,DJIDJI,Cro
DdE,FERRER,Spe
DdE,VOJVODA,Tor
DdE,RUEGG,Ver
DdE,TOLJAN,Sas
DdE,DALOT,Mil
Ddc,MAKSIMOVIC,Nap
Ddc,IACOPONI,Par
Dc,ZAPATA C.,Gen
Dc,RANOCCHIA,Int
Dc,BRUNO ALVES,Par
Dc,ERLIC,Spe
Dc,N'KOULOU,Tor
Dc,DE MAIO,Udi
Dc,MAGALLAN,Cro
Dc,ISMAJLI,Spe
Dc,MARTINEZ QUARTA,Fio
Dc,HOEDT,Laz
C,GRASSI,Par
C,BASELLI,Tor
C,MELEGONI,Gen
WA,PEREIRO,Cag
WT,EYSSERIC,Fio
W,TRAMONI M.,Cag
TA,BRUNETTA,Par
Por,RAFAEL,Spe
Por,PALEARI,Gen
Pc,MONCINI,Ben
Pc,PINAMONTI,Int
Pc,DI SERIO,Ben
MC,CATALDI,Laz
MC,LOBOTKA,Nap
MC,DIAWARA,Rom
MC,ACAMPORA,Spe
MC,CIGARINI,Cro
EC,LULIC,Laz
E,ANDERSON D.,Laz
DsE,PELLEGRINI LU.,Gen
DsE,GHOULAM,Nap
DsE,CALAFIORI,Rom
DsE,RUGGERI,Ata
Dsc,CARBONI,Cag
Dsc,LUPERTO,Cro
Dsc,JUAN JESUS,Rom
Dsc,DELL'ORCO,Spe
DdE,CONTI,Par
DdE,MALCUIT,Fio
DdE,VIGNALI,Spe
DdE,REYNOLDS,Rom
DdE,VENUTI,Fio
Ddc,FERRARI A.,Sam
Dc,CALDARA,Ata
Dc,SUTALO,Ata
Dc,KLAVAN,Cag
Dc,CUOMO,Cro
Dc,GABBIA,Mil
Dc,MUSACCHIO,Laz
Dc,CETIN,Ver
Dc,VALENTI,Par
Dc,PASTINA,Ben
CW,LERIS,Sam
CT,BENALI,Cro
CT,KRUNIC,Mil
C,BORJA VALERO,Fio
A,SANSONE,Bol
A,OUNAS,Cro
A,MIHAILA,Par
A,ODDEI,Sas
W,SPROCATI,Par
TA,MALDINI,Mil
TA,MONTIEL,Fio
T,SAPONARA,Spe
T,PASTORE,Rom
T,ROJAS,Cro
Por,ROSSI F.,Ata
Por,GORI P.,Ben
Por,MANFREDINI,Ben
Por,BREZA,Bol
Por,VICARIO,Cag
Por,ARESTI,Cag
Por,CIOCCI,Cag
Por,FESTA,Cro
Por,BRANCOLINI,Fio
Por,TERRACCIANO,Fio
Por,MARCHETTI,Gen
Por,RADU I.,Int
Por,PINSOGLIO,Juv
Por,DONNARUMMA AN.,Mil
Por,CONTINI,Nap
Por,COLOMBI,Par
Por,RAVAGLIA,Sam
Por,PEGOLO,Sas
Por,TURATI,Sas
Por,KRAPIKAS,Spe
Por,ROSATI,Fio
Por,UJKANI,Tor
Por,BERARDI A.,Ver
Por,PANDUR,Ver
Por,ZOET,Spe
Por,TATARUSANU,Mil
Por,PADELLI,Int
Por,CRESPI,Cro
Por,ZIMA,Gen
Por,BOER,Rom
Por,AVOGADRI,Sam
Por,ALIA,Laz
Por,LETICA,Sam
Por,SCUFFET,Udi
Por,MILINKOVIC-SAVIC V.,Tor
Por,GASPARINI,Udi
Por,RAVAGLIA F.,Bol
Por,RINALDI,Par
Por,FARELLI,Rom
Por,RADUNOVIC,Ata
Por,FUZATO,Rom
Pc,CERRI,Cag
Pc,LA GUMINA,Sam
Pc,DRAGUS,Cro
MC,CASSATA,Gen
MC,VECINO,Int
MC,VIEIRA,Ver
MC,JAJALO,Udi
MC,LEO' SENA,Spe
MC,MAKENGO,Udi
M,MAGNANELLI,Sas
DsE,MAZZOTTA,Cro
DsE,TRIPALDELLI,Cag
DsE,RAMOS,Spe
DsE,BARRECA,Fio
DsE,UDOGIE,Ver
DsE,ZAGARITIS,Par
DsE,REGINI,Sam
Dsc,PELUSO,Sas
DdE,FARAGO',Bol
DdE,LAURINI,Par
DdE,DEPAOLI,Ben
DdE,SALA,Spe
DdE,BUSI,Par
DdE,MATTIELLO,Spe
DdE,MBAYE,Bol
DdE,SANTON,Rom
Ddc,ARMINI,Laz
Ddc,RRAHMANI,Nap
DdE,BIRASCHI,Gen
Ddc,CALABRESI,Cag
Dc,ROMAGNA,Sas
Dc,MARRONE,Cro
Dc,FAZIO,Rom
Dc,CAPRADOSSI,Spe
Dc,PRODL,Udi
Dc,AMIONE,Ver
Dc,FERIGRA,Tor
Dc,BALOGH,Par
Dc,DRAGUSIN,Juv
Dc,DIERCKX,Par
Dc,ANTOV,Bol
CT,BALDURSSON,Bol
CT,BENASSI,Ver
C,ASKILDSEN,Sam
C,PALUMBO,Udi
C,PETRICCIONE,Cro
C,NICOLUSSI CAVIGLIA,Par
C,PORTANOVA,Gen
C,EBOA EBONGUE,Gen
A,JUWARA,Bol
A,LUVUMBO,Cag
A,MALES,Gen
A,SCHIAPPACASSE,Sas
A,MORO,Laz
A,RABBI,Bol
A,AKE' M.,Juv
Pc,PELLE',Par
